grad_percentile,var_percentile,noise,run,grad_thr,var_thr,ml1_trigger,ml2_trigger,quorum_epoch,val_acc_at_quorum,final_val_acc,quorum_reached
45,25,1.0,2,0.6671,1.40475e-05,30.0,41.0,41.0,0.7598,0.77495,True
45,25,1.0,3,0.6671,1.40475e-05,21.0,29.0,29.0,0.74585,0.761,True
45,25,1.5,1,0.5697,1.28675e-05,31.0,20.0,31.0,0.728,0.7488,True
45,25,1.5,2,0.5697,1.28675e-05,38.0,44.0,44.0,0.7447999999999999,0.7543,True
45,25,1.5,3,0.5697,1.28675e-05,16.0,24.0,24.0,0.73315,0.75075,True
45,30,0.5,1,0.6154,1.4497e-05,27.0,21.0,27.0,0.7761,0.80525,True
45,30,0.5,2,0.6154,1.4497e-05,21.0,23.0,23.0,0.76885,0.8057,True
45,30,0.5,3,0.6154,1.4497e-05,28.0,33.0,33.0,0.78165,0.80885,True
45,30,1.0,1,0.6671,1.6824e-05,20.0,32.0,32.0,0.744,0.76705,True
45,30,1.0,2,0.6671,1.6824e-05,30.0,41.0,41.0,0.7598,0.77495,True
45,30,1.0,3,0.6671,1.6824e-05,21.0,20.0,21.0,0.7383,0.761,True
45,30,1.5,1,0.5697,1.5137000000000001e-05,31.0,20.0,31.0,0.728,0.7488,True
45,30,1.5,2,0.5697,1.5137000000000001e-05,37.0,44.0,44.0,0.7447999999999999,0.7543,True
45,30,1.5,3,0.5697,1.5137000000000001e-05,16.0,24.0,24.0,0.73315,0.75075,True
45,35,0.5,1,0.6154,1.74115e-05,27.0,20.0,27.0,0.7761,0.80525,True
45,35,0.5,2,0.6154,1.74115e-05,21.0,23.0,23.0,0.76885,0.8057,True
45,35,0.5,3,0.6154,1.74115e-05,24.0,28.0,28.0,0.7777499999999999,0.80885,True
45,35,1.0,1,0.6671,1.98505e-05,20.0,32.0,32.0,0.744,0.76705,True
45,35,1.0,2,0.6671,1.98505e-05,20.0,41.0,41.0,0.7598,0.77495,True
45,35,1.0,3,0.6671,1.98505e-05,21.0,20.0,21.0,0.7383,0.761,True
45,35,1.5,1,0.5697,1.8922999999999998e-05,31.0,20.0,31.0,0.728,0.7488,True
45,35,1.5,2,0.5697,1.8922999999999998e-05,26.0,34.0,34.0,0.74085,0.7543,True
45,35,1.5,3,0.5697,1.8922999999999998e-05,16.0,21.0,21.0,0.73095,0.75075,True
45,40,0.5,1,0.6154,1.9510000000000005e-05,27.0,20.0,27.0,0.7761,0.80525,True
45,40,0.5,2,0.6154,1.9510000000000005e-05,21.0,20.0,21.0,0.7612,0.8057,True
45,40,0.5,3,0.6154,1.9510000000000005e-05,24.0,28.0,28.0,0.7777499999999999,0.80885,True
45,40,1.0,1,0.6671,2.2634e-05,19.0,32.0,32.0,0.744,0.76705,True
45,40,1.0,2,0.6671,2.2634e-05,20.0,32.0,32.0,0.74705,0.77495,True
45,40,1.0,3,0.6671,2.2634e-05,20.0,20.0,20.0,0.7373000000000001,0.761,True
45,40,1.5,1,0.5697,2.2396000000000004e-05,28.0,20.0,28.0,0.7217,0.7488,True
45,40,1.5,2,0.5697,2.2396000000000004e-05,20.0,34.0,34.0,0.74085,0.7543,True
45,40,1.5,3,0.5697,2.2396000000000004e-05,16.0,21.0,21.0,0.73095,0.75075,True
45,45,0.5,1,0.6154,2.18965e-05,27.0,20.0,27.0,0.7761,0.80525,True
45,45,0.5,2,0.6154,2.18965e-05,21.0,15.0,21.0,0.7612,0.8057,True
45,45,0.5,3,0.6154,2.18965e-05,11.0,28.0,28.0,0.7777499999999999,0.80885,True
45,45,1.0,1,0.6671,2.61455e-05,19.0,32.0,32.0,0.744,0.76705,True
45,45,1.0,2,0.6671,2.61455e-05,20.0,20.0,20.0,0.72355,0.77495,True
45,45,1.0,3,0.6671,2.61455e-05,20.0,20.0,20.0,0.7373000000000001,0.761,True
45,45,1.5,1,0.5697,2.6226e-05,28.0,20.0,28.0,0.7217,0.7488,True
45,45,1.5,2,0.5697,2.6226e-05,20.0,25.0,25.0,0.7112499999999999,0.7543,True
45,45,1.5,3,0.5697,2.6226e-05,16.0,21.0,21.0,0.73095,0.75075,True
45,50,0.5,1,0.6154,2.4665000000000002e-05,27.0,20.0,27.0,0.7761,0.80525,True
45,50,0.5,2,0.6154,2.4665000000000002e-05,21.0,15.0,21.0,0.7612,0.8057,True
45,50,0.5,3,0.6154,2.4665000000000002e-05,11.0,12.0,12.0,0.7362,0.80885,True
45,50,1.0,1,0.6671,3.1375000000000004e-05,19.0,22.0,22.0,0.7374,0.76705,True
45,50,1.0,2,0.6671,3.1375000000000004e-05,20.0,20.0,20.0,0.72355,0.77495,True
45,50,1.0,3,0.6671,3.1375000000000004e-05,20.0,20.0,20.0,0.7373000000000001,0.761,True
45,50,1.5,1,0.5697,2.928e-05,28.0,20.0,28.0,0.7217,0.7488,True
45,50,1.5,2,0.5697,2.928e-05,20.0,25.0,25.0,0.7112499999999999,0.7543,True
45,50,1.5,3,0.5697,2.928e-05,16.0,14.0,16.0,0.71565,0.75075,True
50,10,0.5,1,0.6688,4.948e-06,43.0,24.0,43.0,0.7999,0.80525,True
50,10,0.5,2,0.6688,4.948e-06,,23.0,,,0.8057,False
50,10,0.5,3,0.6688,4.948e-06,36.0,47.0,47.0,0.79525,0.80885,True
50,10,1.0,1,0.7199,5.924e-06,41.0,,,,0.76705,False
50,10,1.0,2,0.7199,5.924e-06,30.0,,,,0.77495,False
50,10,1.0,3,0.7199,5.924e-06,23.0,29.0,29.0,0.74585,0.761,True
50,10,1.5,1,0.6634,7.421000000000001e-06,,49.0,,,0.7488,False
50,10,1.5,2,0.6634,7.421000000000001e-06,40.0,37.0,40.0,0.74315,0.7543,True
50,10,1.5,3,0.6634,7.421000000000001e-06,29.0,40.0,40.0,0.74705,0.75075,True
50,15,0.5,1,0.6688,8.44e-06,43.0,23.0,43.0,0.7999,0.80525,True
50,15,0.5,2,0.6688,8.44e-06,,23.0,,,0.8057,False
50,15,0.5,3,0.6688,8.44e-06,36.0,47.0,47.0,0.79525,0.80885,True
50,15,1.0,1,0.7199,9.139500000000001e-06,41.0,38.0,41.0,0.75585,0.76705,True
50,15,1.0,2,0.7199,9.139500000000001e-06,30.0,41.0,41.0,0.7598,0.77495,True
50,15,1.0,3,0.7199,9.139500000000001e-06,23.0,29.0,29.0,0.74585,0.761,True
50,15,1.5,1,0.6634,9.8705e-06,,20.0,,,0.7488,False
50,15,1.5,2,0.6634,9.8705e-06,40.0,37.0,40.0,0.74315,0.7543,True
50,15,1.5,3,0.6634,9.8705e-06,16.0,24.0,24.0,0.73315,0.75075,True
50,20,0.5,1,0.6688,1.0394e-05,27.0,22.0,27.0,0.7761,0.80525,True
50,20,0.5,2,0.6688,1.0394e-05,21.0,23.0,23.0,0.76885,0.8057,True
50,20,0.5,3,0.6688,1.0394e-05,36.0,47.0,47.0,0.79525,0.80885,True
50,20,1.0,1,0.7199,1.1474e-05,20.0,32.0,32.0,0.744,0.76705,True
50,20,1.0,2,0.7199,1.1474e-05,30.0,41.0,41.0,0.7598,0.77495,True
50,20,1.0,3,0.7199,1.1474e-05,23.0,29.0,29.0,0.74585,0.761,True
50,20,1.5,1,0.6634,1.1172e-05,31.0,20.0,31.0,0.728,0.7488,True
50,20,1.5,2,0.6634,1.1172e-05,32.0,37.0,37.0,0.74,0.7543,True
50,20,1.5,3,0.6634,1.1172e-05,16.0,24.0,24.0,0.73315,0.75075,True
50,25,0.5,1,0.6688,1.282e-05,27.0,21.0,27.0,0.7761,0.80525,True
50,25,0.5,2,0.6688,1.282e-05,21.0,23.0,23.0,0.76885,0.8057,True
50,25,0.5,3,0.6688,1.282e-05,36.0,47.0,47.0,0.79525,0.80885,True
50,25,1.0,1,0.7199,1.40475e-05,20.0,32.0,32.0,0.744,0.76705,True
50,25,1.0,2,0.7199,1.40475e-05,30.0,41.0,41.0,0.7598,0.77495,True
50,25,1.0,3,0.7199,1.40475e-05,21.0,29.0,29.0,0.74585,0.761,True
50,25,1.5,1,0.6634,1.28675e-05,31.0,20.0,31.0,0.728,0.7488,True
50,25,1.5,2,0.6634,1.28675e-05,32.0,37.0,37.0,0.74,0.7543,True
50,25,1.5,3,0.6634,1.28675e-05,16.0,24.0,24.0,0.73315,0.75075,True
50,30,0.5,1,0.6688,1.4497e-05,27.0,21.0,27.0,0.7761,0.80525,True
50,30,0.5,2,0.6688,1.4497e-05,21.0,23.0,23.0,0.76885,0.8057,True
50,30,0.5,3,0.6688,1.4497e-05,28.0,33.0,33.0,0.78165,0.80885,True
50,30,1.0,1,0.7199,1.6824e-05,20.0,32.0,32.0,0.744,0.76705,True
50,30,1.0,2,0.7199,1.6824e-05,30.0,41.0,41.0,0.7598,0.77495,True
50,30,1.0,3,0.7199,1.6824e-05,21.0,20.0,21.0,0.7383,0.761,True
50,30,1.5,1,0.6634,1.5137000000000001e-05,31.0,20.0,31.0,0.728,0.7488,True
50,30,1.5,2,0.6634,1.5137000000000001e-05,32.0,37.0,37.0,0.74,0.7543,True
50,30,1.5,3,0.6634,1.5137000000000001e-05,16.0,24.0,24.0,0.73315,0.75075,True
50,35,0.5,1,0.6688,1.74115e-05,27.0,20.0,27.0,0.7761,0.80525,True
50,35,0.5,2,0.6688,1.74115e-05,21.0,23.0,23.0,0.76885,0.8057,True
50,35,0.5,3,0.6688,1.74115e-05,24.0,28.0,28.0,0.7777499999999999,0.80885,True
50,35,1.0,1,0.7199,1.98505e-05,20.0,32.0,32.0,0.744,0.76705,True
50,35,1.0,2,0.7199,1.98505e-05,20.0,41.0,41.0,0.7598,0.77495,True
50,35,1.0,3,0.7199,1.98505e-05,21.0,20.0,21.0,0.7383,0.761,True
50,35,1.5,1,0.6634,1.8922999999999998e-05,31.0,20.0,31.0,0.728,0.7488,True
50,35,1.5,2,0.6634,1.8922999999999998e-05,26.0,34.0,34.0,0.74085,0.7543,True
50,35,1.5,3,0.6634,1.8922999999999998e-05,16.0,21.0,21.0,0.73095,0.75075,True
50,40,0.5,1,0.6688,1.9510000000000005e-05,27.0,20.0,27.0,0.7761,0.80525,True
50,40,0.5,2,0.6688,1.9510000000000005e-05,21.0,20.0,21.0,0.7612,0.8057,True
50,40,0.5,3,0.6688,1.9510000000000005e-05,24.0,28.0,28.0,0.7777499999999999,0.80885,True
50,40,1.0,1,0.7199,2.2634e-05,19.0,32.0,32.0,0.744,0.76705,True
50,40,1.0,2,0.7199,2.2634e-05,20.0,32.0,32.0,0.74705,0.77495,True
50,40,1.0,3,0.7199,2.2634e-05,20.0,20.0,20.0,0.7373000000000001,0.761,True
50,40,1.5,1,0.6634,2.2396000000000004e-05,28.0,20.0,28.0,0.7217,0.7488,True
50,40,1.5,2,0.6634,2.2396000000000004e-05,20.0,34.0,34.0,0.74085,0.7543,True
50,40,1.5,3,0.6634,2.2396000000000004e-05,16.0,21.0,21.0,0.73095,0.75075,True
50,45,0.5,1,0.6688,2.18965e-05,27.0,20.0,27.0,0.7761,0.80525,True
50,45,0.5,2,0.6688,2.18965e-05,21.0,15.0,21.0,0.7612,0.8057,True
50,45,0.5,3,0.6688,2.18965e-05,11.0,28.0,28.0,0.7777499999999999,0.80885,True
50,45,1.0,1,0.7199,2.61455e-05,19.0,32.0,32.0,0.744,0.76705,True
50,45,1.0,2,0.7199,2.61455e-05,20.0,20.0,20.0,0.72355,0.77495,True
50,45,1.0,3,0.7199,2.61455e-05,20.0,20.0,20.0,0.7373000000000001,0.761,True
50,45,1.5,1,0.6634,2.6226e-05,28.0,20.0,28.0,0.7217,0.7488,True
50,45,1.5,2,0.6634,2.6226e-05,20.0,25.0,25.0,0.7112499999999999,0.7543,True
50,45,1.5,3,0.6634,2.6226e-05,16.0,21.0,21.0,0.73095,0.75075,True
50,50,0.5,1,0.6688,2.4665000000000002e-05,27.0,20.0,27.0,0.7761,0.80525,True
50,50,0.5,2,0.6688,2.4665000000000002e-05,21.0,15.0,21.0,0.7612,0.8057,True
50,50,0.5,3,0.6688,2.4665000000000002e-05,11.0,12.0,12.0,0.7362,0.80885,True
50,50,1.0,1,0.7199,3.1375000000000004e-05,19.0,22.0,22.0,0.7374,0.76705,True
50,50,1.0,2,0.7199,3.1375000000000004e-05,20.0,20.0,20.0,0.72355,0.77495,True
50,50,1.0,3,0.7199,3.1375000000000004e-05,20.0,20.0,20.0,0.7373000000000001,0.761,True
50,50,1.5,1,0.6634,2.928e-05,28.0,20.0,28.0,0.7217,0.7488,True
50,50,1.5,2,0.6634,2.928e-05,20.0,25.0,25.0,0.7112499999999999,0.7543,True
50,50,1.5,3,0.6634,2.928e-05,16.0,14.0,16.0,0.71565,0.75075,True
